month,year,description,context,location
7,2013,Interactive Horizon Graphs,DigiCosme Research Day,"Paris, france"
4,2014,Soccer Visualization,"Microsoft Research, team neXus","Seattle, WA, USA"
4,2014,Soccer Visualization,"University of Washington, interactive Data Lab","Seattle, WA, USA"
4,2014,New Interactions for Tabular Visualizations,"University of Calgary, iLab","Calgary, Canada"
1,2016,Data to The People: Engaging People with Data,"City, University of London, Department of Computer Science","London, United Kingdom"
1,2016,Data to The People: Engaging People with Data,"Dalhousie University, Department of Computer Science","Halifax, Canada"
5,2016,Data to The People: Engaging People with Data,"University of Edinburgh, Department of Computer Science","Edinburgh, United Kingdom"
5,2016,Engaging People with Data,"Lancaster University, Department of Computer Science","Lancaster, United Kingdom"
5,2017,"Small, Manipulable, and Slow Data Visualization","City, University of London, HCID Seminar Series","London, United Kingdom"
12,2017,Visualization for the people: towards authoring tools for creating and sharing personal data visualizations,"Data Empowerment Speaker Series, University of Calgary","Calgary, Canada"
12,2017,"Small, Manipulable, and Slow data visualization","University of Toronto, Department of Computer Science","Toronto, Canada"
1,2018,Changing the Relationship People Have with Data: Towards Authoring Tools for Creating and Sharing Personal Data Visualizations,"City, University of London, Data Bites Series","London, United Kingdom"
2,2018,Changing the Relationship People Have with Data: Towards Authoring Tools for Creating and Sharing Personal Data Visualizations,"University of Toronto, Department of Computer Science and Department of Statistical Sciences","Toronto, Canada"
2,2018,Changing the Relationship People Have with Data: Towards Authoring Tools for Creating and Sharing Personal Data Visualizations,"University of Ottawa, School of Electrical Engineering and Computer Science","Ottawa, Canada"
3,2018,Changing the Relationship People Have with Data: Towards Authoring Tools for Creating and Sharing Personal Data Visualizations,"Monash University, Faculty of Information Technology","Melbourne, Australia"
3,2018,Changing the Relationship People Have with Data: Towards Authoring Tools for Creating and Sharing Personal Data Visualizations,"University of Victoria, Department of Computer Science","Victoria, Canada"
3,2018,Changing the Relationship People Have with Data: Towards Authoring Tools for Creating and Sharing Personal Data Visualizations,"University of Waterloo, Cheriton School of Computer Science","Waterloo, Canada"
