alias,type,short_name,colocated,editor,topic,long_name
information_plus,conference,Information+,,,Information Design and Information Visualization,Information+
iv_journal,journal,Information Visualization,,SAGE,Information Visualization,SAGE Information Visualization
eurovis_short,special,VGTC Eurovis Short Papers,,,Visualization,EG/VGTC Conference on Visualization - Short papers
chi_wip,special,ACM CHI WiP/LBW,,,Human Factors in Computing Systems,ACM CHI Late Breaking Work
gi,conference,GI,,,Graphics Interfaces,Graphics Interface
iss,conference,ACM ISS/ITS,,,Interactive Surfaces and Spaces,ACM ISS
infovis,conference,IEEE Infovis,,,Information Visualization,IEEE Infovis
vast,conference,IEEE VAST,,,Visual Analytics Science and Technology,IEEE VAST
vast_challenge,special,IEEE VAST Challenge,,,Visual Analytics Science and Technology,VAST Challenge
chi,conference,ACM CHI,,,Human Factors in Computing Systems,ACM CHI
eurovis,conference,VGTC EuroVis,,,Visualization,EG/VGTC Conference on Visualization
uist,conference,ACM UIST,,,User Software and Technology,ACM UIST
ihm,conference,IHM,,,French-speaking Conference in HCI,IHM
pacificvis,conference,IEEE PacificVis,,,Visualization,IEEE Pacific Visualization Symposium
ijhcs,journal,IJHCS,,Elsevier,International Journal of Human-Computer Studies,Elsevier International Journal of Human-Computer Studies
eics,conference,ACM EICS,,,Interactive Computing Systems,ACM Symposium on Engineering Interactive Computing Systems
tvcg,journal,TVCG,,IEEE,Transactions on Visualization an Computer Graphics,Transactions on Visualization an Computer Graphics
cgf,journal,CGF,,Eurographics,Computer Graphics Forum,Computer Graphics Forum
vis,conference,IEEE VIS,,,Visualization,IEEE VIS 
livvil,workshop,LIVVIL workshop,vis,,Log Visualization,Workshop on Logging Interactive Visualizations and Visualizing Interaction Logs
pvis_workshop,workshop,Personal Visualization workshop,vis,,Personal Visualization,Workshop on Personal Visualization: Exploring Data in Everyday Life
visualcol,workshop,VisualCol,cts,,Visualization and Collaboration,International Workshop on Visualization and Collaboration
transimage,special,TransImage,,,Transdisciplinary Imaging,International Conference on Transdisciplinary Imaging at the Intersections of Art Science and Culture
cts,conference,CTS,,,Collaboration Technologies and Systems,International Conference on Collaboration Technologies and Systems
