rank,sitc4,product,value,delta,year
1,8444,"Machines to extrude, cut manmade textile fibres",5.95439,0,1995
2,9030,"Oscilloscopes, spectrum analyzers and other instruments and apparatus for measuring or checking electrical quantities",5.57164,0,1995
3,8479,Machines and mechanical appliances having individual functions nes,5.4882,0,1995
4,8422,"Dishwashing machines; machinery for cleaning or drying containers; machinery for filling, closing, sealing or labeling containers",5.43885,0,1995
5,2842,Other salts of inorganic acids or peroxoacids,5.36785,0,1995
6,6909,"Ceramic wares for laboratory uses; ceramic troughs used in agriculture; ceramic pots, jars and similar articles for packing of goods",5.3482,0,1995
7,9026,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases",5.31602,0,1995
8,9031,"Measuring or checking instruments, appliances and machines",5.31397,0,1995
9,8477,Machinery for working rubber or plastics,5.31118,0,1995
10,9022,"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations",5.29642,0,1995
11,7507,"Nickel tubes, pipes and tube or pipe fittings",5.28845,0,1995
12,3822,Diagnostic or laboratory reagents,5.22409,0,1995
13,8443,Printers and copying machines,5.11974,0,1995
14,3707,Chemical preparations for photographic uses,5.03372,0,1995
15,8514,Industrial or laboratory electric furnaces,4.97452,0,1995
16,3403,Lubricating products,4.93104,0,1995
17,8420,Calendering or other rolling machines,4.92096,0,1995
18,8457,Machining centers for working metal,4.91466,0,1995
19,8465,Machine tools for working wood,4.9021,0,1995
20,8416,Furnace burners for liquid fuel,4.87935,0,1995
21,8460,Machine tools for finishing metal or cermets,4.84401,0,1995
22,9002,"Lenses, prisms, mirrors and other optical elements",4.83268,0,1995
23,3821,"Prepared culture media for development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",4.82022,0,1995
24,8476,Automatic goods-vending machines,4.80652,0,1995
25,9012,Microscopes other than optical microscopes,4.80433,0,1995
26,8515,Electric laser or other light or photon beam,4.78226,0,1995
27,4904,"Music, printed or in manuscript",4.77255,0,1995
28,8535,Apparatus protecting electrical circuits for > 1k volts,4.76045,0,1995
29,8467,"Tools for hand working, pneumatic, hydraulic motors",4.71553,0,1995
30,9027,Instruments and apparatus for physical or chemical analysis,4.71294,0,1995
31,8424,Mechanical appliances for dispersing liquids or powders; fire extinguishers; spray guns; steam or sand blasting machines,4.71136,0,1995
32,8408,Compression-ignition internal combustion piston engines,4.68723,0,1995
33,8441,"Other machinery for making paper pulp, paper or paperboard",4.68378,0,1995
34,3701,Photographic plates,4.6769,0,1995
35,3906,Acrylic polymers in primary forms,4.67435,0,1995
36,8307,Flexible tubing of base metal with or without fittings,4.66414,0,1995
37,3811,Anti-knock,4.61781,0,1995
38,3910,Silicones in primary forms,4.61335,0,1995
39,2923,Quaternary ammonium salts and hydroxides,4.54751,0,1995
40,8464,Machine tools for working stone,4.54444,0,1995
41,8447,Knitting machines,4.5357,0,1995
42,3815,"Reaction initiators, reaction accelerators and catalytic products",4.52155,0,1995
43,2919,Phosphoric esters and their salts,4.51007,0,1995
44,2916,Unsaturated acyclic monocarboxylic acids,4.50392,0,1995
45,4911,Other printed matter,4.49335,0,1995
46,8209,"Tool plates/tips/etc, sintered metal carbide & cermet",4.49258,0,1995
47,3818,Chemical element/compound wafers doped for electronic,4.48981,0,1995
48,8455,Metal-rolling mills,4.48938,0,1995
49,3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols,4.47344,0,1995
50,4811,"Paper, paperboard, cellulose wadding and webs of cellulose fibers",4.4664,0,1995
51,8524,Recorded gramophone records,4.44496,0,1995
52,8427,Fork-lift trucks,4.44176,0,1995
53,3215,Ink,4.42797,0,1995
54,8503,Parts for use with electric generators or converters,4.41768,0,1995
55,7220,Flat-rolled products of stainless steel of a width < 600 mm,4.40649,0,1995
56,8419,"Machinery, plant or laboratory equipment involving a change of temperature such as heating, cooking, roasting",4.38879,0,1995
57,2931,Other organo-inorganic compounds,4.38086,0,1995
58,8462,"Machine tools for working metal by forging; machine tools for working metal by bending, folding, straightening  or flattening",4.34723,0,1995
59,8483,Transmission shafts,4.34545,0,1995
60,3705,"Photographic plates and film, exposed and developed, not motion-picture film",4.33714,0,1995
61,8113,Cermets,4.31849,0,1995
62,3804,Residual lyes from wood pulp,4.31187,0,1995
63,8466,Parts and accessories for metal working machines,4.30288,0,1995
64,2812,Halides and halide oxides of nonmetals,4.30282,0,1995
65,5911,"Textile fabric for card clothing, technical use",4.28977,0,1995
66,8442,Machinery for making printing components,4.28548,0,1995
67,3006,Pharmaceutical goods,4.28447,0,1995
68,8428,"Other lifting, handling, loading or unloading machinery (for example, elevators, escalators, conveyors, teleferics)",4.27104,0,1995
69,7226,Flat-rolled products of other alloy steel of a width < 600 mm,4.25431,0,1995
70,8412,Other engines and motors,4.22314,0,1995
71,8475,Machines for assembling electric lamps,4.1882,0,1995
72,9304,"Arms nes, (spring/air/gas guns, truncheons, etc)",4.15514,0,1995
73,3914,Ion-exchangers based on natural and ethylene polymers,4.13849,0,1995
74,8601,Rail locomotives powered from electricity,4.12374,0,1995
75,8703,Cars,4.11818,0,1995
76,8463,"Other machine tools for working metal or cermets, without removal",4.10828,0,1995
77,4822,"Bobbins, spools, cops of paper pulp",4.10823,0,1995
78,2920,Esters of other inorganic acids of nonmetals,4.10487,0,1995
79,8485,Ships or boats propellers and blades,4.09111,0,1995
80,8406,Steam turbines and other vapor turbines,4.08765,0,1995
81,8502,Electric generating sets and rotary converters,4.08713,0,1995
82,8708,Parts and accessories of the motor vehicles,4.07328,0,1995
83,5910,Textile for transmission or conveyor belts,4.06939,0,1995
84,8481,Appliances for thermostatically controlled valves,4.06894,0,1995
85,2934,Nucleic acids and their salts,4.05871,0,1995
86,9029,Revolution counters; speedometers and tachometers,4.05379,0,1995
87,3505,Dextrins and other modified starches,4.03729,0,1995
88,8401,Nuclear reactors and related equipment,4.03662,0,1995
89,7225,Flat-rolled products of other alloy steel of a width > 600 mm,4.02655,0,1995
90,8439,Machinery for making pulp of cellulosic material or for making paper,4.01826,0,1995
91,2913,"Halogenated, sulfonated, nitrated or nitrosated derivatives of aldehydes",4.00632,0,1995
92,8512,Electrical lighting or signaling equipment used for motor vehicles,3.98491,0,1995
93,2911,Acetals and hemiacetals,3.98099,0,1995
94,4806,"Vegetable parchment, greaseproof papers",3.98073,0,1995
95,4810,"Paper and paperboard, coated on one or both sides with kaolin",3.96486,0,1995
96,3214,Glaziers' putty,3.9589,0,1995
97,7219,Flat-rolled products of stainless steel of a width > 600 mm,3.95444,0,1995
98,6903,Other refractory ceramic goods,3.95211,0,1995
99,9008,"Image projectors, other than cinematographic; photographic enlargers and reducers",3.9374,0,1995
100,8456,Machines for the removal of material by laser or other optic means,3.9358,0,1995
101,8208,Knives and cutting blades for machines,3.92445,0,1995
102,2928,Organic derivatives of hydrazine or of hydroxylamine:,3.91742,0,1995
103,9033,"Parts and accessories for machines, appliances, instruments or apparatus",3.9174,0,1995
104,2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose",3.91584,0,1995
105,9016,Balances of a sensitivity of 50 milligram or better,3.91022,0,1995
106,3905,Other vinyl polymers in primary forms,3.90273,0,1995
107,5905,Textile wall coverings,3.88195,0,1995
108,8202,"Handsaws, and metal parts thereof",3.87729,0,1995
109,2937,Hormones,3.87567,0,1995
110,3702,Photographic film in rolls,3.87217,0,1995
111,3919,"Self-adhesive plates, sheets, film, foil, tape",3.8633,0,1995
112,8461,"Machine tools for planing, shaping, slotting, gear cutting, or sawing",3.86267,0,1995
