Conference,Year,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,IEEE Xplore Number Guessed,Deduped author names,filename,References,
VAST,2014,,C,"Accorsi, P.;Fabregue, M.;Sallaberry, A.;Cernesson, F.;Lalande, N.;Braud, A.;Bringay, S.;Le Ber, F.;Poncelet, P.;Teisseire, M.",;;;;;;;;;,,"Accorsi, P.;Fabregue, M.;Sallaberry, A.;Cernesson, F.;Lalande, N.;Braud, A.;Bringay, S.;Le Ber, F.;Poncelet, P.;Teisseire, M.",accorsi_vast_14,568146;885097, 
VAST,2014,,C,"Alexander, E.;Kohlmann, J.;Valenza, R.;Witmore, M.;Gleicher, M.",;;;;,,"Alexander, E.;Kohlmann, J.;Valenza, R.;Witmore, M.;Gleicher, M.",alexander_vast_14,6102449;885098;729570;6065008;6065024;6400486;6102461;6634124;6634160;4389006;4389004,
VAST,2014,,C,"Behrisch, M.;Korkmaz, F.;Lin Shao;Schreck, T.",;;;,,"Behrisch, M.;Korkmaz, F.;Lin Shao;Schreck, T.",behrisch_vast_14,1532142;6327290;5613439;6400486;4389001;6634192;6400488,
VAST,2014,,C,"Bradel, L.;North, C.;House, l.;Leman, S.",;;;,,"Bradel, L.;North, C.;House, l.;Leman, S.",bradel_vast_14,6102449;6634115;6400559;6400486;528686;4389006,
VAST,2014,,C,"Crnovrsanin, T.;Muelder, C.;Kwan-Liu Ma",;;,,"Crnovrsanin, T.;Muelder, C.;Kwan-Liu Ma",crnovrsanin_vast_14,6327252;5332596;1532138;745302;5332593,
VAST,2014,,C,"Dietrich, C.;Koop, D.;Huy T. Vo;Silva, C.T.",;;;,,"Dietrich, C.;Koop, D.;Huy T. Vo;Silva, C.T.",dietrich_vast_14,6327288;6634087;6327272;964541_07,
VAST,2014,,C,"Gomez, S.R.;Hua Guo;Ziemkiewicz, C.;Laidlaw, D.H.",;;;,,"Gomez, S.R.;Hua Guo;Ziemkiewicz, C.;Laidlaw, D.H.",gomez_vast_14,6327245;4376141;6634168;5613456;6634108;1532136;5290702;6064996;5613428;6634156,
VAST,2014,,C,"Janetzko, H.;Sacha, D.;Stein, M.;Schreck, T.;Deussen, O.;Keim, D.",;;;;;,,"Janetzko, H.;Sacha, D.;Stein, M.;Schreck, T.;Deussen, O.;Keim, D.",janetzko_vast_14,6327288;4677350;4376136;6634174;6634194;6634165;6634195,
VAST,2014,,C,"Sungahn Ko;Afzal, S.;Walton, S.;Yang Yang;Junghoon Chae;Malik, A.;Yun Jang;Min Chen;Ebert, D.",;;;;;;;;,,"Sungahn Ko;Afzal, S.;Walton, S.;Yang Yang;Junghoon Chae;Malik, A.;Yun Jang;Chen, M.;Ebert, D.",ko2_vast_14,6400554;5613433;4376154;6065002;6102440;5290710;801851;4015424;4389013,
VAST,2014,,C,"Landstorfer, J.;Herrmann, I.;Stange, J.-E.;Dork, M.;Wettach, R.",;;;;,,"Landstorfer, J.;Herrmann, I.;Stange, J.-E.;Dork, M.;Wettach, R.",landstorfer_vast_14,4015417;1532134;175795;4035754;5290695;528685,
VAST,2014,,C,"Lenz, O.;Keul, F.;Bremm, S.;Hamacher, K.;von Landesberger, T.",;;;;,,"Lenz, O.;Keul, F.;Bremm, S.;Hamacher, K.;von Landesberger, T.",lenz_vast_14,6634198;6102439;5333893;5290692;4376140;5290706;4376152,
