Conference,Year,IEEE XPLORE Article Number,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",IEEE Xplore Number Guessed,Deduped author names,References,
VAST,2015,7194847,,T,,"Klemm, P.;Lawonn, K.;Glaßer, S.;Niemann, U.;Hegenscheid, K.;Völzke, H.;Preim, B.",6064985;6064996;5333431;6634192;6876009;6634119;6634169;6876043,
VAST,2015,7192662,,T,,"Hua Guo;Gomez, S.R.;Ziemkiewicz, C.;Laidlaw, D.H.",1532136;6875913;7042482;4677365;4658129;5333878;6876022;6327280;4376144,
VAST,2015,7347674,x,M,,"Cook, K.A.;Scholtz, J.;Whiting, M.",,
VAST,2015,7347677,x,M,,"Itoh, M.;Yokoyama, D.;Toyoda, M.;Kitsuregawa, M.",,
VAST,2015,7192694,,T,,Mengchen Liu;Shixia Liu;Xizhou Zhu;Qinying Liao;Furu Wei;Shimei Pan,6634195;6327271;5332611;6634091;6065003;7042494;568116;1532150;5652931;6065022;6875992;6634179;6065021;6876032;5613449;6327258;6634134;6876013,
VAST,2015,7192715,,T,,"Maoyuan Sun;Peng Mi;North, C.;Ramakrishnan, N.",4376140;5290706;4658140;6327277;6327294;1382886;6875920;4376154;4015425;6065003;5333878;6064995;5613440;6875994;5613447;6064990;6875974,
VAST,2015,7192714,,T,,"Ragan, E.D.;Endert, A.;Sanyal, J.;Jian Chen",1532136;1532788;6634189;398857;6400486;6875913;5652932;4677365;4658129;6634108;5333020;5653598;6327266;6875986;4677366;6634181;5613483;5613452;146375,
VAST,2015,7192685,,T,,"Heimerl, F.;Qi Han;Koch, S.",1382937;7192633;4658136;6634167;5333443;6065008;6327277;6634160;6327290;1382934;1532150;5290713;5290722;1532122;528686;6876032;5290724,
VAST,2015,7347627,,C,,"North, S.C.;Scheidegger, C.E.;Urbanek, S.;Woodhull, G.",6064996;4389011;6327298;5290771;4376131,
VAST,2015,7347634,,C,,"Jarema, M.;Demir, I.;Kehrer, J.;Westermann, R.",6875958;5613488;5332611;4015417;6634122;6634106;5613502;6876043,
VAST,2015,7347631,,C,,"Wenwen Dou;Cho, I.;ElTayeby, O.;Jaegul Choo;Xiaoyu Wang;Ribarsky, W.",7042493;6634167;6875938;6102461;6876032,
VAST,2015,7347632,,C,,Qingsong Liu;Yifan Hu;Lei Shi;Xinzhu Mu;Yutao Zhang;Jie Tang,5613445;6065001;6065000,
VAST,2015,7192725,,T,,"Yanhong Wu;Pitipornvivat, N.;Jian Zhao;Sixiao Yang;Guowei Huang;Huamin Qu",6064994;6065001;4015425;6634116,
VAST,2015,7347687,x,M,,"Solteszova, V.;Foscato, M.;Eliasson, S.H.;Jensen, V.R.",,
VAST,2015,7192705,,T,,"Yafeng Lu;Steptoe, M.;Burke, S.;Hong Wang;Jiun-Yi Tsai;Davulcu, H.;Montgomery, D.;Corman, S.R.;Maciejewski, R.",6634112;6102488;6400557;6400485;6634160;4677364;6875996;7042484;6065010;7042494;6400491;5333919;801851;6327272;6876015,
VAST,2015,7347637,,C,,"Brooks, M.;Amershi, S.;Bongshin Lee;Drucker, S.;Kapoor, A.;Simard, P.",5652443,
VAST,2015,7347628,,C,,"Haeyong Chung;North, C.;Joshi, S.H.;Jian Chen",4677358,
VAST,2015,7347633,,C,,Quan Li;Peng Xu;Huamin Qu,4658136;885098;6065021;6876044;963273,
VAST,2015,7347675,x,M,,Haoling Dong;Siliang Tang;Si Li;Fei Wu;Yueting Zhuang,,
VAST,2015,7347626,,C,,"Bryan, C.;Xue Wu;Mniszewski, S.;Kwan-Liu Ma",6102457;729566;6875970;6634169;5613483;6876043;6064952;6327226,
VAST,2015,7347676,x,M,,"Lujan Ganuza, M.;Gargiulo, F.;Ferracutti, G.;Castro, S.;Bjerg, E.;Groller, E.;Matkovic, K.",,
VAST,2015,7192688,,T,,Siming Chen;Xiaoru Yuan;Zhenhuang Wang;Cong Guo;Jie Liang;Zuchao Wang;Xiaolong Zhang;Jiawan Zhang,5332584;4677356;5290694;6064996;6327271;5290710;1382887;1532150;6327262;6876014;6876013,
VAST,2015,7192680,,T,,"Jänicke, S.;Focht, J.;Scheuermann, G.",6102454;5613445;6875900;4376141;5333443;6875938;4658131;6327277;6400485;1532126;6327290;6400491;4389004;6875959;5290695;4015419;5652931;5333023;4389006;5333248;4677370;5652520,
VAST,2015,7347635,,C,,"Splechtna, R.;Matkovic, K.;Gracanin, D.;Jelovic, M.;Hauser, H.",4658193;6876045;6876043;5333081;5613487,
VAST,2015,7192671,,T,,"Hannah Kim;Jaegul Choo;Haesun Park;Endert, A.",6064996;6400486;6634167;5652443;6064997;4658123;6102449;6634124;6875985;146386;6065027;6634163,
VAST,2015,7347630,,C,,"Yu Liang;Wei Wu;Xiaohui Li;Guangxia Li;Wee Siong Ng;See-Kiong Ng;Zhongwen Huang;Arunan, A.;Hui Min Watt",1382887;1173155,
VAST,2015,7192703,,T,,"Sorger, J.;Ortner, T.;Luksch, C.;Schwärzler, M.;Groller, E.;Piringer, H.",6875958;6064996;5613488;6634138;1249032;6634146;5290719;6876043,
VAST,2015,7347625,,C,,"Cook, K.A.;Cramer, N.;Israel, D.;Wolverton, M.;Bruce, J.;Burtner, R.;Endert, A.",6400486;6102438;6400559;6875986;7042492;4658192;6634198,
VAST,2015,7192732,,T,,"von Landesberger, T.;Brodkorb, F.;Roskosch, P.;Andrienko, N.;Andrienko, G.;Kerren, A.",6065021;6065001;6065003;1382908;5290710;6875983;4658146;6875972;801851;6400553;5333893;1532150,
VAST,2015,7194831,,T,,"Sujin Jang;Elmqvist, N.;Ramani, K.",6634102;5290701;6065008;6875996;6327289;6634164;6634100;4015418;1532152;6634089;5613432;1183778;4658133;6327272;6876032,
