rank,abbrv,country,value,delta,year
1,JPN,Japan,2.230778,0,1995
2,SWE,Sweden,1.781618,0,1995
3,USA,United States,1.736209,0,1995
4,FIN,Finland,1.729654,0,1995
5,CHE,Switzerland,1.650257,0,1995
6,GBR,United Kingdom,1.608034,0,1995
7,NOR,Norway,1.59853,0,1995
8,DEU,Germany,1.589677,0,1995
9,AUT,Austria,1.574626,0,1995
10,ITA,Italy,1.534427,0,1995
11,FRA,France,1.477457,0,1995
12,SVN,Slovenia,1.458654,0,1995
13,CZE,Czech Republic,1.447684,0,1995
14,CAN,Canada,1.43304,0,1995
15,DNK,Denmark,1.400294,0,1995
16,IRL,Ireland,1.364089,0,1995
17,ISR,Israel,1.358524,0,1995
18,BEL,Belgium,1.302135,0,1995
19,ESP,Spain,1.301992,0,1995
20,SGP,Singapore,1.256978,0,1995
21,KOR,"Korea, Rep.",1.253816,0,1995
22,SVK,Slovak Republic,1.251518,0,1995
23,NLD,Netherlands,1.246024,0,1995
24,HKG,Hong Kong,1.172994,0,1995
25,GEO,Georgia,1.036606,0,1995
26,NZL,New Zealand,0.971807,0,1995
27,HUN,Hungary,0.9341604,0,1995
28,POL,Poland,0.8727257,0,1995
29,AUS,Australia,0.8352723,0,1995
30,MYS,Malaysia,0.7874678,0,1995
31,HRV,Croatia,0.7739633,0,1995
32,SAU,Saudi Arabia,0.7528722,0,1995
33,MEX,Mexico,0.750508,0,1995
34,PRT,Portugal,0.7048274,0,1995
35,ROU,Romania,0.6719842,0,1995
36,CHN,China,0.6502548,0,1995
37,BRA,Brazil,0.6318454,0,1995
38,BLR,Belarus,0.6062952,0,1995
39,EST,Estonia,0.5909622,0,1995
40,UKR,Ukraine,0.5424299,0,1995
41,ZAF,South Africa,0.5186074,0,1995
42,BGR,Bulgaria,0.5080408,0,1995
43,URY,Uruguay,0.4887366,0,1995
44,MKD,Macedonia,0.4464953,0,1995
45,RUS,Russia,0.4438498,0,1995
46,LTU,Lithuania,0.4316534,0,1995
